,latitud,longitud,property_type,property_rooms,property_surface_total,property_price
31092,-34.5923698,-58.3769497,Departamento,1.0,50.0,130000.0
268615,-34.6337684,-58.4752372,Departamento,3.0,52.0,95000.0
45444,-34.5832317,-58.4913294,Departamento,3.0,56.0,115000.0
110859,-34.5780655,-58.4265317,Departamento,3.0,113.93174785377381,299000.0
99999,-34.5734158,-58.4479448,Departamento,3.0,98.0,225400.0
106614,-34.6102726,-58.5087488,PH,2.0,97.0,150000.0
242192,-34.5958663,-58.4241458,Departamento,1.0,35.0,103000.0
284864,-34.6478014,-58.5244468,PH,4.0,219.0,255000.0
1155,-34.5872755,-58.513193,PH,5.0,173.0,320000.0
300667,-34.6335125,-58.368412,Departamento,2.0,38.0,62000.0
436458,-34.6252098,-58.4441634,Departamento,2.0,51.0,155000.0
75866,-34.6288084,-58.4484718,PH,3.0,91.0,170000.0
303281,-34.5672587,-58.4904087,Departamento,2.0,52.0,125000.0
314357,-34.621202,-58.458015,Departamento,4.0,88.0,249000.0
252565,-34.5874386,-58.4178897,Departamento,3.0,72.0,165000.0
346090,-34.5629292,-58.4436931,Departamento,2.0,58.0,149000.0
185344,-34.6152311,-58.378594,Departamento,1.0,32.0,68000.0
157670,-34.5464918,-58.4635188,Departamento,1.0,64.0,140000.0
303841,-34.623196,-58.461363,Departamento,3.0,70.0,147000.0
434068,-34.5601059,-58.4582651,Departamento,2.0,91.84940156583767,989000.0
318225,-34.5747697,-58.4406508,PH,3.0,81.0,248000.0
293558,-34.5898732662,-58.3961389434,Departamento,2.0,42.0,149000.0
267079,-34.5710054,-58.4849686,Departamento,2.0,47.0,145000.0
186101,-34.5872754,-58.4213708,Departamento,2.0,38.0,108000.0
147847,-34.6219307,-58.3684681,Departamento,2.0,30.0,57000.0
295627,-34.5678103,-58.4500966,Departamento,1.0,35.15021198691081,73000.0
227861,-34.5983446966,-58.3723646376,Departamento,2.0,76.0,145000.0
425602,-34.6109026,-58.4004046,PH,3.0,50.0,75000.0
165587,-34.6238928,-58.4401639,PH,4.0,157.0,280000.0
397087,-34.6383565,-58.4659987,Departamento,2.0,57.0,90000.0
238184,-34.6024867,-58.430141,Departamento,4.0,116.0,220000.0
271974,-34.6158404,-58.4172088,Departamento,3.0,63.0,115000.0
372804,-34.610933,-58.399461,Departamento,5.0,100.0,129000.0
397407,-34.6110737827,-58.4275161863,Departamento,2.0,46.0,89000.0
230429,-34.6079243125,-58.3959057936,Departamento,2.0,27.0,43000.0
258217,-34.5980727,-58.4446815,Departamento,3.0,94.86155210971755,180000.0
366388,-34.6346948,-58.4791579,Departamento,3.0,58.0,158000.0
275684,-34.62303925,-58.39402771,Departamento,2.0,43.0,77400.0
94599,-34.6235256,-58.5054599,PH,3.0,73.0,108000.0
270422,-34.5611883,-58.4628604,Departamento,3.0,82.0,170000.0
430694,-34.5915487,-58.4429549,Departamento,1.0,32.0,38478.0
135397,-34.5810083,-58.4493283,Departamento,2.0,52.0,169900.0
126656,-34.5872937,-58.3890086,Departamento,3.0,125.0,395000.0
349992,-34.544465,-58.4813288,Departamento,1.0,47.0,105000.0
86759,-34.5722869,-58.4740171,Departamento,2.0,52.0,164900.0
36525,-34.6447238,-58.4154505,PH,4.0,135.0,140000.0
268998,-34.5545188,-58.4915986,Departamento,2.0,27.773543865808627,82000.0
124659,-34.5563748,-58.464077,Departamento,2.0,45.0,115000.0
373173,-34.6431806,-58.4819393,Departamento,2.0,59.0,72000.0
370182,-34.5664308,-58.4338972,Departamento,5.0,206.0,500000.0
254253,-34.5925613348,-58.4126643235,Departamento,3.0,65.0,127400.0
290793,-34.5551473,-58.4825689,Departamento,2.0,39.0,90000.0
278937,-34.5517478,-58.4538992,Departamento,4.0,118.0,399000.0
273810,-34.5876651,-58.4056873,Departamento,2.0,54.47181790748739,70000.0
281119,-34.587049,-58.3987353,Departamento,3.0,99.0,285000.0
225131,-34.6033076,-58.3634158,Departamento,2.0,60.0,285000.0
129210,-34.5920087,-58.4071064,Departamento,2.0,59.0,240000.0
372585,-34.6063891,-58.4115201,Departamento,3.0,80.0,99999.0
449650,-34.598786,-58.3784026,Departamento,1.0,39.0,56000.0
389745,-34.6265959,-58.4667663,Departamento,3.0,65.0,110000.0
225587,-34.5937430553,-58.443617651,Departamento,1.0,41.0,83600.0
319023,-34.5674633,-58.449964,Departamento,2.0,55.0,99000.0
189863,-34.5890847977,-58.3962728651,Departamento,3.0,105.0,260000.0
220153,-34.6013525,-58.4010715,Departamento,1.0,27.0,49800.0
243762,-34.6124579,-58.5021514,Departamento,4.0,138.0,268000.0
432189,-34.5892402,-58.5045545,Departamento,2.0,53.0,110000.0
36903,-34.6060002,-58.3961011,Departamento,4.0,78.0,118000.0
264968,-34.6281393,-58.4503822,Departamento,1.0,35.0,105000.0
392997,-34.6149259,-58.4806889,Departamento,1.0,46.0,95000.0
458417,-34.596195,-58.427002,Departamento,2.0,30.0,59000.0
382844,-34.5872759,-58.3998486,Departamento,2.0,44.0,110000.0
134917,-34.601361,-58.4206154,Departamento,4.0,58.0,120000.0
314765,-34.5883996,-58.4786374,Departamento,2.0,56.0,155000.0
366251,-34.5622638,-58.4486217,Departamento,3.0,55.0,189000.0
73424,-34.5769553,-58.4398077,Departamento,3.0,106.0,410000.0
264636,-34.5722,-58.4844,Departamento,1.0,42.0,99000.0
415465,-34.584869,-58.411252,Departamento,3.0,77.0,180000.0
101223,-34.5913890936,-58.5000944138,Departamento,2.0,53.0,125000.0
263930,-34.5874835,-58.4122308,Departamento,4.0,113.0,300000.0
442951,-34.5835453,-58.4818542,Casa,4.0,130.0,325000.0
386630,-34.5928998,-58.3870274,Departamento,2.0,38.0,115000.0
190134,-34.6101465909,-58.4979915619,Departamento,1.0,35.0,79900.0
359497,-34.6442392327,-58.5090690851,Casa,3.0,110.0,179900.0
430503,-34.6137801454,-58.504332304,Departamento,3.0,62.0,145000.0
